Modelo,Tamanho,Temp_treino,Temp_teste,F1_treino,F1_teste
Naive Bayes,100,0.001,0.001,0.8467,0.8029
Naive Bayes,200,0.001,0.001,0.8406,0.7244
Naive Bayes,300,0.001,0.001,0.8038,0.7634
SVM,100,0.002,0.002,0.8777,0.7746
SVM,200,0.006,0.004,0.8679,0.7815
SVM,300,0.009,0.008,0.8761,0.7838
Regressao Logistica,100,0.002,0.001,0.8593,0.7647
Regressao Logistica,200,0.003,0.001,0.8562,0.7914
Regressao Logistica,300,0.004,0,0.8468,0.806
Arvore de Decisao,100,0,0,1,0.6261
Arvore de Decisao,200,0,0,1,0.7385
Arvore de Decisao,300,0,0,1,0.6116
